City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ribeira grande,38.5167,-28.7,17.1,81,97,2.68,PT,1733026601
83,kone,-21.0595,164.8658,29.83,52,41,2.26,NC,1733026602
84,selkirk,50.1436,-96.8845,-11.57,93,97,1.79,CA,1733026604
85,kenora,49.8167,-94.4337,-10.68,100,100,4.92,CA,1733026606
86,nar'yan-mar,67.6713,53.087,-6.85,86,18,10.78,RU,1733026607
87,wagar,16.1525,36.2032,20.91,81,51,4.5,SD,1733026608
88,el calafate,-50.3408,-72.2768,6.63,64,21,5.67,AR,1733026609
89,balykshi,47.0667,51.8667,-2.0,86,100,4.0,KZ,1733026610
90,beli,7.8587,10.9719,21.01,40,43,1.18,NG,1733026611
91,puerto ayora,-0.7393,-90.3518,20.78,86,68,3.39,EC,1733026612
92,kerikeri,-35.2268,173.9474,20.07,68,44,3.24,NZ,1733026613
93,port lincoln,-34.7333,135.8667,21.66,54,1,1.49,AU,1733026615
94,mount pearl,47.5166,-52.7813,4.19,97,100,5.14,CA,1733026616
95,brookings,44.3114,-96.7984,-11.0,73,100,2.57,US,1733026440
96,laojunmiao,39.8333,97.7333,0.06,46,18,0.1,CN,1733026618
97,harstad,68.799,16.5293,-2.69,94,100,3.13,NO,1733026619
98,novaci,45.1833,23.6667,2.16,89,92,1.96,RO,1733026620
99,hobyo,5.3505,48.5268,26.67,67,11,8.63,SO,1733026621
100,daru,-9.0763,143.2092,29.03,79,100,3.68,PG,1733026622
101,sitka,57.0531,-135.33,-2.06,64,0,3.09,US,1733026623
102,port mathurin,-19.6833,63.4167,24.72,75,12,7.29,MU,1733026624
103,dwarka,22.2394,68.9678,25.64,37,5,3.77,IN,1733026625
104,kanniyakumari,8.0833,77.5667,28.6,73,46,9.99,IN,1733026626
105,pak phanang,8.3511,100.202,28.5,71,56,3.21,TH,1733026627
106,gabu,12.2833,-14.2167,19.63,31,97,1.01,GW,1733026628
107,neryungri,56.6709,124.6491,-22.09,94,100,5.12,RU,1733026630
108,toktogul,41.8708,72.9402,2.58,97,97,0.32,KG,1733026631
109,anadyr,64.75,177.4833,-0.72,80,75,9.0,RU,1733026632
110,hadibu,12.65,54.0333,25.83,69,13,5.28,YE,1733026633
111,plettenberg bay,-34.0527,23.3716,15.97,77,34,1.74,ZA,1733026634
112,hami,42.8,93.45,-1.84,62,100,1.13,CN,1733026635
113,nemuro,43.3236,145.575,4.9,49,70,7.43,JP,1733026636
114,kismayo,-0.3582,42.5454,27.73,75,69,5.36,SO,1733026637
115,georgetown,5.4112,100.3354,28.96,74,20,2.57,MY,1733026638
116,north bend,43.4065,-124.2243,2.37,100,0,2.06,US,1733026557
117,soe,-9.8607,124.284,27.01,71,100,1.25,ID,1733026640
118,kattivakkam,13.2167,80.3167,27.76,96,97,9.49,IN,1733026641
119,penrith,54.6658,-2.7576,11.86,92,100,6.64,GB,1733026643
120,afaahiti,-17.75,-149.2833,26.61,77,77,3.58,PF,1733026644
121,biltine,14.5333,20.9167,15.8,33,52,3.16,TD,1733026645
122,lospalos,-8.5186,127.0025,31.35,56,79,4.46,TL,1733026646
123,wanlaweyn,2.6185,44.8938,24.24,77,8,4.78,SO,1733026647
124,weno,7.4515,151.8468,30.97,74,75,3.6,FM,1733026648
125,wailua homesteads,22.0669,-159.378,23.44,85,0,3.6,US,1733026649
126,iskateley,67.6803,53.1512,-6.8,86,26,10.71,RU,1733026650
127,lebu,-37.6167,-73.65,13.28,72,85,4.89,CL,1733026651
128,tobelo,1.7284,128.0095,29.01,72,99,2.11,ID,1733026652
129,arno,60.1167,18.6333,6.06,91,98,6.57,SE,1733026653
130,peniche,39.3558,-9.3811,17.47,85,100,6.51,PT,1733026654
131,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,100,100,2.0,RU,1733026655
132,antonio enes,-16.2325,39.9086,25.74,57,32,4.83,MZ,1733026656
133,port elizabeth,-33.918,25.5701,19.06,89,0,3.09,ZA,1733026658
134,novosokol'niki,56.3463,30.1578,3.19,76,100,5.03,RU,1733026659
135,invercargill,-46.4,168.35,16.12,70,51,6.26,NZ,1733026660
136,san pedro,14.35,121.0167,24.62,97,100,1.03,PH,1733026661
137,college,64.8569,-147.8028,-20.31,78,75,1.54,US,1733026662
138,alaghsas,17.0187,8.0168,16.13,24,52,5.59,NE,1733026663
139,jabor,5.921,169.6434,28.05,78,27,6.84,MH,1733026664
140,hasaki,35.7333,140.8333,14.93,33,0,0.49,JP,1733026665
141,lihue,21.9789,-159.3672,23.77,81,0,3.6,US,1733026666
142,temiskaming shores,47.4938,-79.7153,-8.11,88,100,2.12,CA,1733026667
143,krumovgrad,41.4667,25.65,7.51,88,100,6.37,BG,1733026668
144,colares,38.7992,-9.4469,18.52,73,100,4.44,PT,1733026669
145,phan rang-thap cham,11.5667,108.9833,30.38,55,73,4.76,VN,1733026670
146,robore,-18.3333,-59.75,25.03,77,100,2.41,BO,1733026671
147,maracaibo,10.6317,-71.6406,26.64,87,46,3.09,VE,1733026673
148,thompson,55.7435,-97.8558,-14.91,85,100,3.6,CA,1733026674
149,la passe,45.5549,-0.8967,12.12,75,95,5.28,FR,1733026675
150,fonte boa,-2.4959,-66.2662,25.14,65,85,1.1,BR,1733026676
151,aykhal,66.0,111.5,-29.39,100,9,1.36,RU,1733026677
152,bahraigh,27.5833,81.6,20.61,38,0,2.88,IN,1733026678
153,kapuskasing,49.4169,-82.4331,-4.95,100,100,4.12,CA,1733026679
154,antofagasta,-23.65,-70.4,17.6,82,63,2.19,CL,1733026681
155,dryden,49.7833,-92.7503,-10.84,92,100,3.6,CA,1733026682
156,susuman,62.7833,148.1667,-16.16,99,98,1.5,RU,1733026683
157,saint-philippe,-21.3585,55.7679,25.2,75,13,4.17,RE,1733026685
158,alwar,27.5667,76.6,20.37,24,0,1.75,IN,1733026686
159,stepnoye,51.4,46.8667,-0.7,88,100,2.85,RU,1733026687
160,yanbu,24.0891,38.0637,17.02,72,0,1.54,SA,1733026688
161,nagqu,31.5,92.0,-2.42,30,34,3.44,CN,1733026689
162,puerto lempira,15.2667,-83.7667,25.27,87,99,2.44,HN,1733026690
163,basoko,1.2391,23.616,22.22,77,94,0.62,CD,1733026691
164,kande,9.9578,1.0447,19.66,31,87,1.64,TG,1733026692
165,beitbridge,-22.2167,30.0,21.73,48,0,2.87,ZW,1733026694
166,port alfred,-33.5906,26.891,16.21,96,19,2.04,ZA,1733026695
167,klyuchi,52.2667,79.1667,-10.24,89,100,1.96,RU,1733026696
168,kaihua,23.3687,104.28,17.23,61,56,2.62,CN,1733026697
169,west island,-12.1568,96.8225,29.99,74,75,2.57,CC,1733026698
170,idaho falls,43.4666,-112.0341,-2.95,86,20,2.57,US,1733026699
171,itigi,-5.7,34.4833,18.25,89,100,2.3,TZ,1733026700
172,mejit,10.2753,170.8646,27.71,84,99,10.35,MH,1733026701
173,enewetak,11.3474,162.3373,28.04,81,93,10.67,MH,1733026702
174,grantsville,40.5999,-112.4644,-5.01,86,0,2.06,US,1733026703
175,udpura,24.7167,75.9667,19.05,34,4,2.84,IN,1733026704
176,ust-nera,64.5667,143.2,-22.53,99,100,0.94,RU,1733026705
177,ketchikan,55.3422,-131.6461,0.99,80,100,0.0,US,1733026706
178,suwayr,30.1171,40.3893,9.37,55,0,2.19,SA,1733026708
179,dunedin,-45.8742,170.5036,17.67,68,64,1.34,NZ,1733026709
180,huron,41.1501,-82.5499,-5.18,71,100,5.43,US,1733026710
181,motygino,58.1831,94.7592,-19.26,89,32,1.47,RU,1733026711
182,freetown,8.484,-13.2299,24.66,76,65,2.05,SL,1733026712
183,weiser,44.251,-116.9693,-0.89,88,100,0.95,US,1733026713
184,ust'-kulom,61.6864,53.6902,-8.48,94,68,2.65,RU,1733026714
185,tabuk,17.4189,121.4443,24.21,85,100,2.66,PH,1733026715
186,kiruna,67.8557,20.2251,-11.49,79,100,3.09,SE,1733026716
187,ioannina,39.6675,20.8508,6.86,87,92,3.09,GR,1733026717
188,gracias,14.5833,-88.5833,17.87,99,93,2.2,HN,1733026718
189,rong'an,26.1247,119.1214,21.38,46,1,0.57,CN,1733026719
190,pirallahi,40.4723,50.333,8.08,69,100,3.29,AZ,1733026720
191,al jawf,29.5,38.75,9.42,56,0,1.53,SA,1733026434
192,sorong,-0.8833,131.25,29.86,71,48,4.29,ID,1733026508
193,bayganin,48.6947,55.8742,-3.42,86,98,3.9,KZ,1733026724
194,liboro,13.8245,122.7295,25.51,92,100,3.72,PH,1733026725
195,winnemucca,40.973,-117.7357,-5.97,86,0,2.57,US,1733026726
196,petropavlivka,48.4564,36.4367,-2.57,90,11,2.9,UA,1733026727
197,halifax,44.6453,-63.5724,1.36,87,9,2.98,CA,1733026728
198,murzuq,25.9155,13.9184,10.39,56,26,1.54,LY,1733026729
199,karamay,45.6004,84.8661,0.66,76,100,1.06,CN,1733026730
200,taksimo,56.3444,114.8794,-18.76,77,100,1.4,RU,1733026731
201,matoury,4.8483,-52.3317,26.98,89,100,3.6,GF,1733026732
202,simanggang,1.2472,111.4528,32.99,66,40,1.54,MY,1733026733
203,mandera,3.9366,41.867,26.89,32,68,5.49,KE,1733026734
204,sirjan,29.452,55.6814,4.35,35,0,1.77,IR,1733026735
205,khanpur,28.6453,70.6567,23.08,21,41,1.59,PK,1733026736
206,mwene-ditu,-7.0,23.45,18.37,99,100,1.75,CD,1733026738
207,visakhapatnam,17.69,83.2093,25.94,89,75,5.14,IN,1733026739
208,namibe,-15.1961,12.1522,21.71,77,96,2.44,AO,1733026740
209,wynyard,-41.0,145.7167,15.1,97,95,4.92,AU,1733026741
210,kyzyl-mazhalyk,51.1333,90.6,-10.66,71,21,0.68,RU,1733026742
211,fort-shevchenko,44.5086,50.263,3.44,71,100,3.32,KZ,1733026743
212,turkmenbasy,40.0222,52.9552,4.43,87,75,3.09,TM,1733026744
213,pascagoula,30.3658,-88.5561,1.0,86,0,0.0,US,1733026745
214,belyy yar,53.6039,91.3903,-9.06,92,100,0.0,RU,1733026746
215,sangueya,10.7,-14.3667,21.68,87,66,1.33,GN,1733026747
216,huntsville,34.7304,-86.5861,4.5,69,100,2.06,US,1733026748
217,olonkinbyen,70.9221,-8.7187,-10.36,65,100,7.23,SJ,1733026749
